crime_ucr,crime_iucr,crime_primary_type,crime_description,notes,n,crime_group_large_inferred,crime_group_inferred,crime_index,weapon_inferred,shooting_ind_inferred,victim_type_inferred,weapon_firearm_ind_inferred,drug_type_inferred,drug_crime_class_inferred
26,5073,NON-CRIMINAL (SUBJECT SPECIFIED),NOTIFICATION OF CIVIL NO CONTACT ORDER,,9,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal
26,5093,NON-CRIMINAL,LOST PASSPORT,,111,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal
26,5094,NON-CRIMINAL,FOUND PASSPORT,,4,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal
26,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,,1419,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
26,5112,OTHER OFFENSE,GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION,,318,Weapon Violation,Weapon Violation,N,Firearm,Firearm - Violation,Non-Violent,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
26,5113,NON-CRIMINAL,GUN OFFENDER NOTIFICATION-NO CONTACT,,3,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal
26,3961,INTIMIDATION,INTIMIDATION OF LAW ENFORCEMENT OFFICIAL,,4,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
08A,3961,INTIMIDATION,INTIMIDATION OF LAW ENFORCEMENT OFFICIAL,"Per clear map: Definition: An unlawful physical attack by one person upon another where neither the offender displays a weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",1,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,3966,INTIMIDATION,EDUCATIONAL INTIMIDAITON,,25,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
08A,3966,INTIMIDATION,EDUCATIONAL INTIMIDAITON,"Per clear map: Definition: An unlawful physical attack by one person upon another where neither the offender displays a weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",2,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
26,4740,OTHER OFFENSE,UNLAWFUL USE OF BODY ARMOR,,9,Weapon Violation,Weapon Violation,N,Other Weapon,Non-Violent,Non-Violent,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,5003,OTHER OFFENSE,OTHER ARSON/EXPLOSIVE INCIDENT,,143,Weapon Violation,Weapon Violation,N,Other Weapon,Non-Violent,Non-Violent,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,4860,OTHER OFFENSE,BOARD PLANE WITH WEAPON,,156,Weapon Violation,Weapon Violation,N,Unspecified,Non-Violent,Non-Violent,Unspecified,Not Drug-Alcohol,Not Drug-Alcohol
26,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,,7437,Weapon Violation,Weapon Violation,N,Unspecified,Non-Violent,Non-Violent,Unspecified,Not Drug-Alcohol,Not Drug-Alcohol
04B,493,RITUALISM,AGG RITUAL MUT:OTH DANG WEAPON,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",5,Part I Violent,Assault,I,Other Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
01B,141,HOMICIDE,INVOLUNTARY MANSLAUGHTER,,3,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal
01B,142,HOMICIDE,RECKLESS HOMICIDE,,45,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal
04B,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",19208,Part I Violent,Assault,I,Other Weapon,No Shooting,Domestic,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04B,461,BATTERY,AGG PO HANDS ETC SERIOUS INJ,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",479,Part I Violent,Assault,I,Physical Force,No Shooting,Police Officer,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04B,462,BATTERY,AGG PRO EMP HANDS SERIOUS INJ,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",492,Part I Violent,Assault,I,Physical Force,No Shooting,Protected Employee,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04B,479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",2433,Part I Violent,Assault,I,Physical Force,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04B,498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",4128,Part I Violent,Assault,I,Physical Force,No Shooting,Domestic,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04B,510,RITUALISM,AGG RIT MUT: HANDS/FIST/FEET SERIOUS INJURY,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",5,Part I Violent,Assault,I,Physical Force,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
04B,485,BATTERY,AGGRAVATED OF A CHILD,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",726,Part I Violent,Assault,I,Unspecified,Unspecified,Minor,Unspecified,Not Drug-Alcohol,Not Drug-Alcohol
04B,487,BATTERY,AGGRAVATED OF A UNBORN CHILD,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",55,Part I Violent,Assault,I,Unspecified,Unspecified,Minor,Unspecified,Not Drug-Alcohol,Not Drug-Alcohol
04B,495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,"per clearmap guide: An unlawful attack by one person upon another wherein the offender uses a weapon or the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",2414,Part I Violent,Assault,I,Unspecified,Unspecified,Senior Citizen,Unspecified,Not Drug-Alcohol,Not Drug-Alcohol
04B,499,BATTERY,AGGRAVATED DOMESTIC BATTERY,domestic battery shot with handgun is  0486 or  0488 ,1546,Part I Violent,Assault,I,Unspecified,No Shooting,Domestic,Unspecified,Not Drug-Alcohol,Not Drug-Alcohol
01A,110,HOMICIDE,FIRST DEGREE MURDER,,9824,Part I Violent,Murder,I,Unspecified,Unspecified,Unspecified,Unspecified,Not Drug-Alcohol,Not Drug-Alcohol
2,275,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER,,256,Part I Violent,Rape,I,Other Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
2,274,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER DANG WEAPON,,49,Part I Violent,Rape,I,Other Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
2,272,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER FIREARM,,3,Part I Violent,Rape,I,Firearm,Firearm - Discharge Unspecified,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
2,291,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,it would be aggravated if a weapon was used,1296,Part I Violent,Rape,I,Physical Force,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
2,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,"iucr sex crimes chart and cpd iucr guide contradict, because sex crimes chart says force can be used for non-aggravated, whereas cpd reference says force makes it aggravated",16033,Part I Violent,Rape,I,Unspecified,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
2,266,CRIM SEXUAL ASSAULT,PREDATORY,,2866,Part I Violent,Rape,I,Unspecified,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
2,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,it would be aggravated if a weapon was used,1527,Part I Violent,Rape,I,Physical Force,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
16,1537,OFFENSE INVOLVING CHILDREN,POS: PORNOGRAPHIC PRINT,,63,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
17,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,"Any person who solicits or engages any                       1582
child under 18 years (or any institutionalized, severely or profoundly mentally retarded person) to act, pose, or otherwise perform for any type of pornographic production.",1099,Part II Violent,Sex Offense,N,No Weapon,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
17,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,"Offender exposes self, or           1544 entices/coerces child to expose sex organs, etc., or commits a sex act
in view of a child for the purpose of sexual gratification of either the
offender or the child.",728,Part II Violent,Sex Offense,N,No Weapon,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
17,1565,SEX OFFENSE,INDECENT SOLICITATION/CHILD,,658,Part II Violent,Sex Offense,N,No Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
17,1566,SEX OFFENSE,INDECENT SOLICITATION/ADULT,,76,Part II Violent,Sex Offense,N,No Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
17,1570,SEX OFFENSE,PUBLIC INDECENCY,,7443,Part II Violent,Sex Offense,N,No Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
17,1572,SEX OFFENSE,ADULTRY,,6,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
17,1574,SEX OFFENSE,FORNICATION,,13,Part II Violent,Sex Offense,N,No Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
3,031A,ROBBERY,ARMED: HANDGUN,,92725,Part I Violent,Robbery,I,Firearm,Firearm - Discharge Unspecified,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
3,031B,ROBBERY,ARMED: OTHER FIREARM,,1356,Part I Violent,Robbery,I,Firearm,Firearm - Discharge Unspecified,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
3,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,,8456,Part I Violent,Robbery,I,Firearm,Firearm - Discharge Unspecified,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
3,033B,ROBBERY,ATTEMPT: ARMED-OTHER FIREARM,,289,Part I Violent,Robbery,I,Firearm,Firearm - Discharge Unspecified,General,Firearm,Not Drug-Alcohol,Not Drug-Alcohol
3,312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,,12114,Part I Violent,Robbery,I,Knife/Sharp Object,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
3,334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,,2213,Part I Violent,Robbery,I,Knife/Sharp Object,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
3,313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,,12878,Part I Violent,Robbery,I,Other Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
3,337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,,2032,Part I Violent,Robbery,I,Other Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
3,320,ROBBERY,STRONGARM - NO WEAPON,,90979,Part I Violent,Robbery,I,Physical Force,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
3,330,ROBBERY,AGGRAVATED,"Offender threatens the use of force with firearm, knife, 0330 or other dangerous weapon Ð whether or not actually armed at time of
incident Ð but no weapon is actually displayed.",13153,Part I Violent,Robbery,I,No Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
3,340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,,10111,Part I Violent,Robbery,I,Physical Force,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
3,325,ROBBERY,VEHICULAR HIJACKING,"If there were an injury, use of firearm, or shooting it would be aggravated: A vehicular hijacking becomes aggravated when a firearm is discharged. (Definition of aggravated includes at least one of these factors: Offender takes the motor vehicle 0326 from a person who is physically handicapped or a person over 60 years
of age, a person under 16 years of age is a passenger in the motor
vehicle when vehicle is taken, offender carries on or about his or her
person a dangerous weapon/or armed w/a firearm, during commission of the offense discharges a firearm, discharges firearm causing great bodily harm/death.) ",5188,Part I Violent,Robbery,I,Unspecified,No Shooting,General,Unspecified,Not Drug-Alcohol,Not Drug-Alcohol
3,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,"Offender takes the motor vehicle 0326 from a person who is physically handicapped or a person over 60 years
of age, a person under 16 years of age is a passenger in the motor
vehicle when vehicle is taken, offender carries on or about his or her
person a dangerous weapon/or armed w/a firearm, during commission of the offense discharges a firearm, discharges firearm causing great bodily harm/death.",9691,Part I Violent,Robbery,I,Unspecified,Unspecified,General,Unspecified,Not Drug-Alcohol,Not Drug-Alcohol
3,331,ROBBERY,ATTEMPT: AGGRAVATED,"Offender takes the motor vehicle 0326 from a person who is physically handicapped or a person over 60 years
of age, a person under 16 years of age is a passenger in the motor
vehicle when vehicle is taken, offender carries on or about his or her
person a dangerous weapon/or armed w/a firearm, during commission of the offense discharges a firearm, discharges firearm causing great bodily harm/death.",966,Part I Violent,Robbery,I,Unspecified,Unspecified,General,Unspecified,Not Drug-Alcohol,Not Drug-Alcohol
17,1578,SEX OFFENSE,MARRYING A BIGAMIST,,2,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
17,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,,148,Part II Violent,Sex Offense,N,No Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
17,1585,SEX OFFENSE,OTHER,"Where offender is an employee of a penal system or of a treatment and detention facility, or a probation or supervision officer and engages in sexual conduct with a person in custody or under custodial supervision.",692,Part II Violent,Sex Offense,N,No Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,1537,OFFENSE INVOLVING CHILDREN,POS: PORNOGRAPHIC PRINT,Made non-ucr crime against person because a child can't consent and is therefore a victim,11,Other Offense,Other Offense,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
08A,2820,OTHER OFFENSE,TELEPHONE THREAT,"Per clear map: Definition: An unlawful physical attack by one person upon another where neither the offender displays a weapon, nor the victim suffers obvious severe or aggravated bodily injury involving apparent broken bones, loss of teeth, possible internal injury, severe laceration, or loss of consciousness.",2262,Threats and Harassment,Threats and Harassment,N,Non-Violent,Non-Violent,Non-Violent,Non-Violent,Not Drug-Alcohol,Not Drug-Alcohol
17,1564,SEX OFFENSE,CRIMINAL TRANSMISSION OF HIV,,131,Part II Violent,Sex Offense,N,Other Weapon,No Shooting,General,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,5114,NON - CRIMINAL,FOID - REVOCATION,,38,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal
17,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,,205,Part II Violent,Sex Offense,N,Unspecified,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
17,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,,562,Part II Violent,Sex Offense,N,Unspecified,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
17,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,"Could include ""great bodily harm""",5748,Part II Violent,Sex Offense,N,Unspecified,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
17,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,"Non-Aggravated Ð Sexual conduct by the use of force or threat
of force.",9442,Part II Violent,Sex Offense,N,Unspecified,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
17,1580,SEX OFFENSE,SEX RELATION IN FAMILY,"For definition of ""Family                               1580 Member"" see note under CHILDREN, OFFENSES INVOLVING",48,Part II Violent,Sex Offense,N,Unspecified,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
17,1590,SEX OFFENSE,ATT AGG CRIMINAL SEXUAL ABUSE,,161,Part II Violent,Sex Offense,N,Unspecified,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
17,5004,SEX OFFENSE,ATT CRIM SEXUAL ABUSE,,873,Part II Violent,Sex Offense,N,Unspecified,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,5114,NON-CRIMINAL,FOID - REVOCATION,,38,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal,Non-Criminal
17,5005,SEX OFFENSE,ATT AGG CRIM SEXUAL ABUSE,,6,Part II Violent,Sex Offense,N,Unspecified,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
20,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,,1993,Part II Violent,Sex Offense,N,Unspecified,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
20,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,,2960,Part II Violent,Sex Offense,N,Unspecified,No Shooting,Minor,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol
26,1050,HUMAN TRAFFICKING,COMMERCIAL SEX ACTS,,35,Part II Violent,Sex Offense,N,Unspecified,No Shooting,General,Unspecified,Not Drug-Alcohol,Not Drug-Alcohol
9,1030,ARSON,POS: EXPLOSIVE/INCENDIARY DEV,manual add,74,Weapon Violation,Weapon Violation,N,Other Weapon,Non-Violent,Non-Violent,Other/Physical Force,Not Drug-Alcohol,Not Drug-Alcohol